lead_train,lead_delay,target_train,target_delay,delta_time,station_code,target_delayed
02518,66,12346,40,34.0,NJP,True
14037,30,12346,40,10.0,NJP,True
20501,47,15648,63,16.0,NJP,True
20501,47,02501,129,22.0,NJP,True
20501,47,02517,135,28.0,NJP,True
20501,47,14038,215,48.0,NJP,True
20501,47,12504,104,57.0,NJP,True
20501,47,12424,46,59.0,NJP,True
15648,63,02501,129,6.0,NJP,True
15648,63,02517,135,12.0,NJP,True
15648,63,14038,215,32.0,NJP,True
15648,63,12504,104,41.0,NJP,True
15648,63,12424,46,43.0,NJP,True
15648,63,22450,171,48.0,NJP,True
02501,129,02517,135,6.0,NJP,True
02501,129,14038,215,26.0,NJP,True
02501,129,12504,104,35.0,NJP,True
02501,129,12424,46,37.0,NJP,True
02501,129,22450,171,42.0,NJP,True
02517,135,14038,215,20.0,NJP,True
02517,135,12504,104,29.0,NJP,True
02517,135,12424,46,31.0,NJP,True
02517,135,22450,171,36.0,NJP,True
14038,215,12504,104,9.0,NJP,True
14038,215,12424,46,11.0,NJP,True
14038,215,22450,171,16.0,NJP,True
12504,104,12424,46,2.0,NJP,True
12504,104,22450,171,7.0,NJP,True
12504,104,13182,37,53.0,NJP,True
12424,46,22450,171,5.0,NJP,True
12424,46,13182,37,51.0,NJP,True
22450,171,13182,37,46.0,NJP,True
13182,37,12510,67,30.0,NJP,True
13182,37,20503,30,53.0,NJP,True
12510,67,20503,30,23.0,NJP,True
12510,67,12423,48,41.0,NJP,True
12510,67,20504,57,50.0,NJP,True
20503,30,12423,48,18.0,NJP,True
20503,30,20504,57,27.0,NJP,True
20503,30,14619,82,52.0,NJP,True
12423,48,20504,57,9.0,NJP,True
12423,48,14619,82,34.0,NJP,True
12423,48,02502,98,50.0,NJP,True
20504,57,14619,82,25.0,NJP,True
20504,57,02502,98,41.0,NJP,True
20504,57,05640,176,59.0,NJP,True
14619,82,02502,98,16.0,NJP,True
14619,82,05640,176,34.0,NJP,True
02502,98,05640,176,18.0,NJP,True
22502,49,12516,74,25.0,NJP,True
22502,49,15630,102,53.0,NJP,True
22502,49,12508,109,60.0,NJP,True
12516,74,15630,102,28.0,NJP,True
12516,74,12508,109,35.0,NJP,True
15630,102,12508,109,7.0,NJP,True
22501,266,12503,438,52.0,NJP,True
12515,190,12509,230,40.0,NJP,True
15647,109,12507,344,55.0,NJP,True
15945,18,15647,30,12.0,NK,True
15647,30,12519,26,56.0,NK,True
02502,18,20501,17,59.0,NKMG,True
20501,17,12504,77,60.0,NKMG,True
12504,77,14619,51,34.0,NKMG,True
15648,84,13181,67,43.0,NOQ,True
15648,84,12510,80,56.0,NOQ,True
13181,67,12510,80,13.0,NOQ,True
13182,47,20503,37,50.0,NOQ,True
02502,98,02501,156,58.0,NOQ,True
02501,156,02517,169,13.0,NOQ,True
22502,66,15630,130,4.0,NOQ,True
22502,66,12516,94,28.0,NOQ,True
22502,66,20504,44,38.0,NOQ,True
22502,66,12508,124,58.0,NOQ,True
15630,130,12516,94,24.0,NOQ,True
15630,130,20504,44,34.0,NOQ,True
15630,130,12508,124,54.0,NOQ,True
12516,94,20504,44,10.0,NOQ,True
12516,94,12508,124,30.0,NOQ,True
20504,44,12508,124,20.0,NOQ,True
12508,124,05639,109,45.0,NOQ,True
05640,193,15946,69,56.0,NOQ,True
22502,13,15946,9,56.0,NTSK,False
22502,13,15909,10,57.0,NTSK,False
22502,13,15960,12,59.0,NTSK,True
15946,9,15909,10,1.0,NTSK,False
15946,9,15960,12,3.0,NTSK,True
15946,9,12423,9,60.0,NTSK,False
15909,10,15960,12,2.0,NTSK,True
15909,10,12423,9,59.0,NTSK,False
15960,12,12423,9,57.0,NTSK,False
12509,40,22501,48,8.0,OGL,True
12519,94,15945,85,51.0,PCOI,True
12503,209,12509,37,8.0,PER,True
12508,312,12516,328,16.0,PER,True
12424,36,22450,131,35.0,PPTA,True
22450,131,14038,165,34.0,PPTA,True
14038,165,22449,24,39.0,PPTA,True
14619,81,20501,57,36.0,PPTA,True
20501,57,12423,42,45.0,PPTA,True
20501,57,12519,112,55.0,PPTA,True
12423,42,12519,112,10.0,PPTA,True
12423,42,14620,202,40.0,PPTA,True
12519,112,14620,202,30.0,PPTA,True
22450,107,14038,124,17.0,PRYJ,True
12509,104,12515,81,37.0,PSA,True
12508,222,12516,245,23.0,PSA,True
22501,87,12509,90,3.0,RJY,True
22501,87,12515,83,56.0,RJY,True
12509,90,12515,83,53.0,RJY,True
15630,171,12508,284,53.0,RJY,True
